PLAYER,TEAM,Games Played,MIN,Points,Field Goals Made,Field Goals Attempted,Field Goal Percentage,Three-Point Field Goals Made,3PA,3P%,FTM,FTA,FT%,Offensive Rebounds,Defensive Rebounds,Rebounds,Assists,Steals,Blocks,Turnovers,Efficiency,Year
Anthony Davis,LAL,5,41.6,27.8,11.8,18.6,63.4,0.0,1.0,0.0,4.2,5.2,80.8,3.0,12.6,15.6,4.0,0.4,1.6,2.2,39.4,2023
LeBron James,LAL,5,40.8,27.8,11.2,19.8,56.6,2.0,5.2,38.5,3.4,4.6,73.9,0.8,6.0,6.8,8.8,2.4,1.0,3.8,33.2,2023
Austin Reaves,LAL,5,34.8,16.8,6.0,12.6,47.6,1.4,5.2,26.9,3.4,3.8,89.5,1.0,2.8,3.8,3.6,1.4,0.6,0.8,18.4,2023
D'Angelo Russell,LAL,5,37.0,14.2,5.6,14.6,38.4,2.8,8.8,31.8,0.2,0.4,50.0,0.2,2.6,2.8,4.2,0.8,0.2,1.8,11.2,2023
Rui Hachimura,LAL,5,30.6,7.8,3.0,7.6,39.5,1.0,2.8,35.7,0.8,1.6,50.0,1.2,2.6,3.8,0.8,0.0,0.0,0.4,6.6,2023
Taurean Prince,LAL,5,22.2,7.4,2.4,5.8,41.4,1.0,3.4,29.4,1.6,1.6,100.0,0.2,2.2,2.4,0.6,0.2,0.4,0.2,7.4,2023
Spencer Dinwiddie,LAL,5,14.6,3.0,1.0,2.8,35.7,0.4,1.6,25.0,0.6,1.2,50.0,0.2,1.2,1.4,1.6,0.4,0.2,0.2,4.0,2023
Gabe Vincent,LAL,5,13.8,1.4,0.6,2.4,25.0,0.2,1.4,14.3,0.0,0.0,0.0,0.2,1.4,1.6,0.6,0.4,0.0,0.6,1.6,2023
Jaxson Hayes,LAL,4,6.0,0.3,0.0,0.5,0.0,0.0,0.0,0.0,0.3,0.5,50.0,0.8,2.3,3.0,0.3,0.0,0.0,0.5,2.3,2023
LeBron James,LAL,16,38.7,24.5,9.2,18.4,49.8,1.8,6.6,26.4,4.4,5.8,76.1,1.6,8.3,9.9,6.5,1.1,1.1,2.5,29.9,2022
Anthony Davis,LAL,16,38.0,22.6,8.3,15.9,52.0,0.3,0.9,33.3,5.8,6.8,85.2,2.4,11.7,14.1,2.6,1.4,3.1,2.1,32.9,2022
Austin Reaves,LAL,16,36.2,16.9,5.6,12.1,46.4,2.4,5.5,44.3,3.2,3.6,89.5,1.3,3.2,4.4,4.6,0.6,0.2,1.6,18.3,2022
