Age,GamesPlayed,Wins,Losses,PointsScored,FG%,3P%,FT%,TotalRebounds,Assists,Turnovers,Steals,Blocks,PersonalFouls
31,23,16,7,671,45.8,37.4,84.2,138,126,79,31,16,75
32,24,15,9,451,43.8,39.2,82.4,143,82,64,24,14,80
29,23,16,7,450,53.9,0.0,75.9,255,81,44,9,48,63
34,24,15,9,387,43.1,38.6,86.3,80,63,36,22,3,74
24,24,15,9,379,46.3,37.5,59.6,134,223,72,46,3,57
27,16,10,6,355,51.9,0.0,75.4,106,18,40,11,24,54
34,23,14,9,345,49.5,0.0,83.9,170,58,31,26,20,74
25,11,6,5,320,50.2,40.0,73.3,102,84,42,19,20,23
29,16,10,6,316,50.2,47.5,75.9,87,17,10,17,4,35
36,16,10,6,284,51.8,38.0,89.3,52,161,60,4,1,20
28,14,10,4,266,47.9,39.3,82.3,50,67,35,14,0,38
30,23,16,7,258,39.8,29.1,57.9,91,49,25,35,12,67
24,14,10,4,254,61.4,0.0,51.9,155,19,51,11,49,59
26,10,4,6,243,45.0,39.2,80.2,27,102,30,10,4,37
35,23,16,7,237,44.8,36.0,82.1,58,64,36,28,1,83
30,23,16,7,222,46.9,24.4,60.0,198,46,28,15,21,84
33,14,10,4,217,40.2,23.5,82.6,59,32,22,12,3,50
22,23,16,7,198,53.7,0.0,67.9,159,12,21,6,36,61
28,10,4,6,197,53.0,0.0,54.3,132,30,24,4,7,38
29,11,4,7,197,38.7,22.0,81.0,56,55,25,10,3,22
32,10,4,6,194,41.4,33.3,86.6,37,60,30,26,2,30
34,10,4,6,190,52.0,50.0,47.8,99,26,24,8,17,27
26,6,2,4,184,46.4,31.6,87.7,51,20,21,12,3,26
25,10,4,6,180,57.4,0.0,69.0,88,22,13,11,14,36
30,14,10,4,180,46.2,37.3,80.0,79,32,25,15,10,38
30,11,4,7,179,36.4,36.0,84.5,30,30,20,9,1,26
24,24,15,9,175,47.6,0.0,72.2,109,10,22,19,9,54
28,10,4,6,173,47.4,66.7,59.5,38,54,22,6,0,20
34,11,6,5,168,46.7,25.6,73.2,81,14,18,7,11,38
28,5,1,4,166,56.4,40.5,67.5,28,34,26,8,8,16
24,11,4,7,161,52.3,100.0,83.9,99,20,15,8,19,35
32,6,2,4,160,54.7,57.1,95.2,49,18,10,5,4,15
27,11,6,5,158,40.9,32.7,80.4,34,59,23,6,2,35
24,11,4,7,155,48.1,33.3,65.9,99,29,17,13,19,30
37,16,10,6,154,48.0,18.8,86.8,93,36,19,13,10,46
21,6,2,4,150,35.0,28.6,87.1,46,14,22,3,8,17
35,24,15,9,147,41.6,34.5,82.8,71,9,9,10,14,82
23,10,4,6,144,44.3,32.6,89.7,25,28,19,6,6,48
21,5,1,4,134,45.6,33.3,81.8,17,36,13,4,0,8
24,10,4,6,134,45.1,37.9,83.8,31,7,8,10,2,21
23,10,4,6,132,38.6,35.7,81.3,44,17,15,18,5,34
20,7,3,4,131,40.8,29.3,80.8,21,25,8,8,4,19
27,16,10,6,131,36.4,34.9,93.8,90,15,8,12,9,50
25,23,15,8,131,51.0,0.0,60.0,143,22,43,9,32,79
38,11,6,5,127,51.6,0.0,66.0,61,15,24,2,13,41
