PLAYER,TEAM,Games Played,MIN,Points,Field Goals Made,Field Goals Attempted,Field Goal Percentage,Three-Point Field Goals Made,3PA,3P%,FTM,FTA,FT%,Offensive Rebounds,Defensive Rebounds,Rebounds,Assists,Steals,Blocks,Turnovers,Efficiency,Year
James Harden,HOU,12,37.3,29.6,9.1,19.0,47.8,3.3,9.8,33.3,8.2,9.7,84.5,1.0,4.6,5.6,7.7,1.5,0.8,3.8,30.0,2019
Eric Gordon,HOU,12,34.2,17.3,6.0,14.7,40.9,2.4,7.5,32.2,2.9,3.3,87.5,0.5,2.2,2.7,3.0,0.8,0.6,2.0,13.3,2019
Jeff Green,HOU,12,28.4,11.6,4.3,8.6,49.5,1.9,4.5,42.6,1.2,1.4,82.4,0.4,4.6,5.0,1.6,0.5,0.5,1.3,13.3,2019
Danuel House Jr.,HOU,9,31.0,11.4,4.1,9.4,43.5,2.1,5.9,35.8,1.1,1.4,76.9,1.1,4.7,5.8,1.4,0.9,0.0,0.8,13.1,2019
Robert Covington,HOU,12,31.6,11.2,3.9,7.9,49.5,2.8,5.7,50.0,0.5,0.6,85.7,0.7,4.3,5.0,1.3,2.5,1.1,1.0,16.0,2019
P.J. Tucker,HOU,12,34.5,7.9,2.9,7.3,39.8,2.1,5.6,37.3,0.0,0.0,0.0,1.9,5.3,7.2,1.5,1.1,0.3,1.0,12.5,2019
Austin Rivers,HOU,12,17.6,4.8,1.6,5.1,31.1,0.8,2.9,25.7,0.8,1.1,76.9,0.2,2.3,2.5,1.3,0.6,0.1,0.7,4.8,2019
Ben McLemore,HOU,11,11.8,4.0,1.4,3.6,37.5,1.3,3.3,38.9,0.0,0.0,0.0,0.2,0.8,1.0,0.5,0.4,0.0,0.3,3.4,2019
James Harden,HOU,11,38.5,31.6,9.9,24.0,41.3,4.4,12.5,35.0,7.5,8.9,83.7,0.8,6.0,6.8,6.6,2.2,0.9,4.6,28.0,2018
Eric Gordon,HOU,11,37.3,17.8,6.1,13.6,44.7,3.5,8.6,40.0,2.2,2.5,85.7,0.5,2.1,2.5,1.3,0.6,1.0,2.5,12.9,2018
Chris Paul,HOU,11,36.1,17.0,6.0,13.5,44.6,1.5,5.7,27.0,3.5,4.1,84.4,1.3,5.1,6.4,5.5,2.2,0.6,3.4,20.2,2018
P.J. Tucker,HOU,11,38.7,11.4,3.6,8.0,45.5,2.4,5.2,45.6,1.7,2.1,82.6,1.7,5.7,7.5,1.7,1.7,0.7,0.7,17.5,2018
Clint Capela,HOU,11,30.1,9.7,4.2,7.5,56.1,0.0,0.0,0.0,1.4,3.2,42.9,3.7,6.5,10.3,1.5,0.3,1.1,1.5,16.3,2018
Austin Rivers,HOU,10,21.5,7.4,2.7,6.2,43.5,1.6,3.5,45.7,0.4,0.6,66.7,0.2,1.9,2.1,1.0,0.5,0.1,0.8,6.6,2018
Iman Shumpert,HOU,8,13.6,3.6,1.3,3.3,38.5,1.0,2.8,36.4,0.1,0.5,25.0,0.1,1.4,1.5,0.3,0.1,0.0,0.4,2.8,2018
Gerald Green,HOU,11,8.8,3.5,1.1,3.6,30.0,0.9,2.6,34.5,0.5,0.5,100.0,0.0,1.1,1.1,0.1,0.3,0.3,0.3,2.5,2018
James Harden,HOU,17,36.5,28.6,9.3,22.6,41.0,3.1,10.2,29.9,6.9,7.8,88.7,0.8,4.4,5.2,6.8,2.2,0.6,3.8,25.5,2017
Chris Paul,HOU,15,34.5,21.1,7.9,17.1,45.9,2.5,6.6,37.4,2.9,3.5,83.0,0.6,5.3,5.9,5.8,2.0,0.3,1.9,23.4,2017
Eric Gordon,HOU,17,32.3,15.4,4.9,13.0,38.0,2.5,7.6,33.1,3.0,3.6,83.6,0.5,2.1,2.6,1.6,0.6,0.5,1.4,10.7,2017
Clint Capela,HOU,17,30.6,12.7,5.6,8.5,66.0,0.0,0.0,0.0,1.5,3.2,47.3,3.6,8.0,11.6,1.3,0.8,2.1,0.9,23.1,2017
P.J. Tucker,HOU,17,33.5,8.9,3.1,6.4,48.1,2.1,4.4,46.7,0.7,1.1,66.7,1.4,5.2,6.5,1.3,0.6,0.8,0.8,13.6,2017
Trevor Ariza,HOU,17,34.2,8.8,2.9,8.2,36.0,1.5,5.4,28.6,1.4,1.8,74.2,0.5,3.3,3.8,1.3,1.1,0.1,0.6,8.8,2017
Gerald Green,HOU,17,16.0,6.3,2.2,5.5,39.4,1.6,4.2,37.5,0.4,0.4,85.7,0.4,2.6,2.9,0.1,0.2,0.4,0.6,5.9,2017
James Harden,HOU,11,37.0,28.5,8.2,19.8,41.3,2.9,10.5,27.8,9.2,10.5,87.8,0.6,4.8,5.5,8.5,1.9,0.5,5.4,26.5,2016
Eric Gordon,HOU,11,32.5,12.9,4.6,11.0,42.1,2.5,6.4,38.6,1.2,1.6,72.2,0.5,3.5,3.9,2.0,0.7,0.5,1.3,12.0,2016
