Age,GamesPlayed,Wins,Losses,PointsScored,FG%,3P%,FT%,TotalRebounds,Assists,Turnovers,Steals,Blocks,PersonalFouls
25,22,13,9,635,44.6,32.2,76.5,208,178,90,41,8,56
32,22,13,9,487,46.7,39.0,84.9,81,113,51,23,7,62
26,19,16,3,475,42.7,28.3,86.1,184,119,50,20,13,54
27,19,16,3,454,51.6,32.7,66.0,113,62,51,23,12,51
22,16,9,7,441,48.1,40.0,81.4,112,104,52,24,9,37
27,13,7,6,421,44.4,31.0,77.5,43,97,35,10,2,26
30,17,8,9,367,54.1,29.8,61.9,128,64,19,13,7,48
29,12,7,5,344,54.5,26.4,90.1,161,104,40,17,8,32
29,19,16,3,318,45.2,40.4,92.1,81,77,16,18,23,44
28,16,9,7,305,46.6,36.1,85.5,144,42,27,12,3,55
25,10,6,4,302,49.6,43.2,79.0,72,64,22,13,17,31
27,10,5,5,296,47.6,35.4,81.5,54,47,28,13,3,29
28,17,8,9,289,51.7,45.3,76.0,113,36,33,8,25,44
25,22,13,9,286,42.7,34.8,70.9,145,31,32,16,17,67
24,15,8,7,280,48.8,37.9,85.0,72,123,31,19,10,14
24,17,8,9,253,56.0,48.3,76.9,56,94,23,6,4,56
34,19,16,3,250,50.3,40.2,95.5,116,83,29,21,12,40
27,12,7,5,247,40.2,31.5,92.3,52,67,31,10,6,28
27,13,7,6,231,41.9,42.5,86.7,52,34,16,16,12,29
27,22,13,9,200,48.1,36.9,73.3,76,27,18,11,21,54
32,17,8,9,200,48.6,26.9,86.7,52,86,21,15,2,26
30,6,2,4,198,44.4,33.3,85.9,65,34,25,7,9,20
25,22,13,9,197,63.4,0.0,63.1,122,15,19,6,33,38
23,16,9,7,195,51.4,42.9,77.1,61,18,17,14,18,54
23,12,5,7,192,55.5,27.8,69.4,111,28,22,10,26,34
29,13,7,6,189,44.0,37.3,72.9,150,59,34,13,10,41
25,12,7,5,189,46.6,40.7,76.9,82,13,18,11,10,27
21,7,3,4,189,45.6,40.0,75.5,60,28,32,8,4,14
24,12,5,7,188,42.7,35.2,81.0,43,69,27,13,2,33
23,10,6,4,187,46.9,38.5,81.5,68,54,19,17,5,21
26,17,8,9,185,54.1,35.7,76.0,75,29,14,6,6,21
31,15,8,7,181,61.5,0.0,67.1,147,24,23,14,15,55
23,6,2,4,179,47.8,40.0,89.3,31,41,13,5,2,16
24,17,8,9,178,43.3,27.8,91.9,84,37,23,11,9,66
24,16,9,7,177,45.8,36.2,71.0,59,16,14,8,12,32
38,19,16,3,174,47.8,36.8,63.6,133,40,12,15,16,28
36,15,9,6,174,42.8,39.5,71.4,58,86,20,21,3,38
28,12,7,5,172,58.5,40.7,82.1,87,53,18,10,7,28
20,21,13,8,165,67.4,100.0,59.0,156,27,21,9,20,48
22,10,6,4,156,49.6,26.0,75.8,72,21,19,7,25,26
32,6,2,4,148,48.2,35.5,90.0,55,28,14,3,1,25
23,13,7,6,143,43.5,36.8,83.3,29,25,11,7,2,30
31,5,1,4,139,63.4,0.0,80.8,78,20,11,2,8,19
39,5,1,4,139,56.6,38.5,73.9,34,44,19,12,5,11
26,9,6,3,136,50.5,41.0,61.5,54,10,10,8,9,15
22,7,3,4,132,40.8,26.5,88.6,48,31,9,5,9,20
34,6,2,4,127,44.9,38.3,90.6,27,48,14,6,6,13
33,4,1,3,125,42.0,41.7,97.4,13,20,9,4,0,8
26,19,16,3,122,41.9,38.3,91.7,37,40,14,4,0,22
34,6,2,4,117,41.1,36.7,84.0,41,29,14,7,3,22
25,16,9,7,116,36.6,29.6,100.0,28,37,15,10,7,24
28,12,5,7,114,40.8,34.7,100.0,64,35,15,9,0,41
26,5,1,4,113,49.5,20.0,71.4,47,19,8,2,0,15
29,11,5,6,111,43.1,18.2,65.4,40,25,14,9,6,14
27,4,0,4,110,49.2,35.0,95.1,13,24,11,7,1,18
26,13,7,6,110,59.2,50.0,86.4,102,46,19,4,12,41
23,22,13,9,109,42.4,39.0,73.7,56,23,7,17,3,29
35,4,0,4,107,55.2,41.7,82.4,26,13,10,2,6,8
25,10,6,4,107,36.3,39.1,84.2,46,20,11,13,2,42
36,6,2,4,106,58.7,43.5,53.3,26,11,9,0,8,10
23,7,3,4,103,40.2,29.2,76.7,36,23,20,9,3,18
26,19,16,3,103,42.9,38.0,100.0,41,11,3,5,3,20
29,6,2,4,99,48.4,25.0,61.5,68,6,9,3,1,13
27,6,2,4,97,60.0,0.0,65.0,56,6,8,5,3,21
31,12,7,5,97,39.5,32.7,100.0,35,31,10,17,5,37
32,6,2,4,89,50.0,42.9,84.4,20,6,0,1,1,6
22,17,8,9,88,43.7,38.0,77.8,51,17,11,8,1,32
21,10,6,4,87,45.3,35.3,87.5,36,21,12,2,4,9
28,7,6,1,86,46.7,34.5,90.9,31,8,5,5,11,15
26,5,1,4,84,47.6,26.9,89.5,19,18,4,7,3,8
24,5,1,4,84,38.5,34.9,90.0,18,27,14,2,0,10
21,19,11,8,80,42.6,40.7,73.3,15,17,7,3,0,13
28,6,2,4,79,48.4,39.1,72.7,24,10,8,11,7,24
31,6,2,4,77,42.6,44.8,80.0,17,2,7,3,0,20
32,4,0,4,71,41.9,24.1,100.0,19,19,16,7,3,14
28,5,1,4,71,38.4,31.8,50.0,14,21,9,4,1,6
26,4,2,2,68,67.6,0.0,69.2,55,5,5,5,4,8
30,4,0,4,66,44.1,43.5,80.0,11,18,13,3,1,15
23,12,5,7,66,35.7,25.7,77.8,21,13,11,11,4,30
24,10,6,4,64,44.4,41.0,0.0,22,10,5,5,0,10
30,15,8,7,64,45.6,25.0,83.3,40,38,10,10,5,26
25,10,6,4,62,48.9,30.0,90.9,32,10,9,6,3,8
23,12,7,5,61,42.6,22.2,68.8,32,9,1,2,5,18
32,14,8,6,61,37.9,35.1,50.0,25,5,2,5,1,10
28,5,1,4,58,46.7,44.0,100.0,18,7,3,3,0,14
32,4,0,4,58,52.4,0.0,82.4,44,5,10,2,0,9
26,4,0,4,57,34.5,25.0,89.5,18,13,9,4,5,8
22,15,6,9,57,53.5,0.0,61.1,48,7,4,3,13,24
27,6,2,4,56,41.3,45.5,100.0,30,11,5,0,0,19
34,9,3,6,55,45.8,39.1,66.7,25,3,3,4,0,8
31,6,2,4,54,43.1,33.3,100.0,43,9,3,1,3,11
27,6,2,4,53,51.2,44.0,0.0,15,4,3,4,0,9
25,7,3,4,53,40.4,28.0,72.7,44,9,5,5,4,20
25,4,0,4,52,39.0,33.3,100.0,20,10,11,5,1,15
23,4,1,3,51,40.4,23.1,85.7,13,12,7,3,2,6
35,6,2,4,49,41.0,36.4,86.7,20,33,6,6,4,16
32,13,6,7,48,41.0,42.9,66.7,25,13,5,3,4,20
21,5,1,4,47,44.4,40.9,85.7,33,11,6,5,3,9
24,9,4,5,47,48.8,0.0,38.5,38,5,4,4,12,20
24,4,0,4,46,37.5,33.3,0.0,26,9,8,5,6,12
26,7,3,4,45,58.8,0.0,55.6,14,8,8,3,0,12
21,10,6,4,44,48.5,40.9,75.0,32,15,3,4,3,11
26,7,3,4,44,41.0,37.0,100.0,34,3,4,5,9,7
27,7,3,4,44,44.4,22.2,58.8,31,2,8,6,3,21
28,21,12,9,43,36.4,35.0,66.7,17,12,5,3,1,9
20,10,6,4,42,39.0,32.1,50.0,13,10,4,9,2,14
38,6,2,4,42,34.4,33.3,80.0,21,24,4,6,4,23
34,12,7,5,42,33.3,34.8,100.0,15,12,8,2,1,12
28,13,11,2,39,66.7,0.0,84.6,41,7,6,1,5,11
26,5,1,4,39,39.5,35.7,50.0,19,4,2,0,0,8
35,6,2,4,38,41.4,40.9,62.5,35,8,5,1,5,13
35,6,2,4,38,26.0,23.5,61.5,25,10,10,7,3,11
30,5,1,4,37,41.4,29.4,100.0,12,3,1,1,2,9
24,7,3,4,36,31.7,15.4,88.9,15,9,5,4,1,16
26,4,0,4,36,42.9,40.0,100.0,11,5,2,2,2,9
35,12,7,5,35,31.4,37.9,50.0,20,4,3,6,0,16
28,10,4,6,33,34.5,37.0,100.0,12,9,0,0,0,9
32,4,1,3,32,60.0,60.0,100.0,12,7,0,4,1,5
35,4,0,4,32,32.1,41.2,87.5,7,5,4,5,2,5
29,4,0,4,31,50.0,0.0,45.5,33,11,6,6,6,15
25,7,5,2,29,83.3,66.7,87.5,6,1,0,0,0,0
29,5,2,3,28,40.0,44.4,0.0,6,7,3,1,4,10
31,10,4,6,28,22.0,13.0,87.5,12,4,7,4,2,18
31,6,2,4,27,44.0,27.3,100.0,23,13,3,6,1,6
29,6,2,4,25,28.6,31.8,100.0,12,4,2,7,3,18
31,4,0,4,25,58.8,25.0,66.7,33,7,7,2,0,9
35,4,3,1,24,29.2,40.0,57.1,12,4,1,0,1,3
27,5,1,4,24,35.7,18.8,100.0,14,8,4,1,1,14
32,2,0,2,24,45.8,0.0,66.7,16,4,4,4,1,3
31,4,1,3,22,41.2,46.2,100.0,5,2,2,0,1,4
28,9,6,3,21,30.0,7.1,100.0,6,9,0,2,1,6
31,4,0,4,20,31.8,33.3,0.0,19,4,2,1,0,11
34,6,2,4,19,38.9,0.0,62.5,20,4,2,3,2,13
35,3,0,3,18,35.3,27.3,75.0,1,3,1,1,0,2
21,10,6,4,18,25.0,25.0,50.0,15,4,3,0,6,9
24,6,2,4,17,37.5,18.2,100.0,9,2,1,0,0,9
27,6,2,4,17,31.8,27.3,0.0,10,2,5,2,1,6
27,3,0,3,17,58.3,0.0,100.0,4,0,2,2,1,6
26,6,4,2,17,50.0,0.0,37.5,41,3,3,6,7,15
26,10,8,2,16,54.5,100.0,50.0,14,0,1,3,2,2
31,5,1,4,15,35.7,25.0,50.0,7,8,1,2,1,7
33,10,3,7,15,43.8,0.0,50.0,20,10,2,1,5,9
25,4,0,4,14,55.6,33.3,50.0,4,2,2,2,0,7
32,10,4,6,13,45.5,37.5,0.0,3,7,1,0,2,5
30,5,1,4,13,31.3,23.1,0.0,5,6,5,2,0,6
24,7,3,4,13,37.5,50.0,62.5,14,2,4,2,1,8
22,5,1,4,12,45.5,33.3,0.0,11,10,3,5,1,10
26,2,0,2,12,71.4,0.0,66.7,5,1,2,0,0,1
25,8,6,2,12,62.5,100.0,100.0,14,3,3,3,3,7
23,10,7,3,11,44.4,33.3,50.0,3,0,0,0,1,1
23,3,0,3,11,42.9,20.0,100.0,2,4,1,0,0,0
35,3,1,2,11,50.0,0.0,75.0,9,2,1,0,0,0
27,3,0,3,11,30.8,30.0,0.0,6,5,2,1,2,4
36,7,3,4,11,33.3,28.6,50.0,13,12,0,3,0,3
39,2,0,2,11,66.7,75.0,0.0,3,0,3,0,0,6
33,4,1,3,9,25.0,14.3,100.0,6,2,0,0,2,4
35,5,1,4,9,44.4,25.0,0.0,14,4,2,0,0,2
25,6,2,4,9,44.4,0.0,50.0,16,2,3,1,3,7
26,4,1,3,8,37.5,40.0,0.0,4,0,0,1,0,2
20,9,6,3,8,30.0,0.0,66.7,4,4,6,2,1,2
27,8,6,2,8,25.0,22.2,0.0,5,1,2,1,0,3
28,5,1,4,7,25.0,14.3,0.0,8,3,3,2,0,8
28,2,0,2,7,20.0,20.0,100.0,8,2,3,1,0,4
25,5,1,4,7,100.0,0.0,75.0,8,1,0,2,1,1
26,4,0,4,7,15.0,7.1,0.0,4,9,4,5,1,3
22,3,1,2,7,33.3,25.0,50.0,2,0,1,1,0,3
24,4,0,4,7,60.0,33.3,0.0,1,0,0,0,0,2
22,6,5,1,7,42.9,25.0,0.0,2,2,1,1,0,3
20,2,2,0,6,42.9,0.0,0.0,2,2,1,1,0,1
25,2,2,0,6,66.7,50.0,100.0,0,1,0,0,0,0
32,13,8,5,6,33.3,0.0,66.7,12,3,3,1,0,9
21,5,3,2,6,22.2,40.0,0.0,5,3,0,0,0,2
22,3,0,3,5,50.0,0.0,50.0,2,1,0,0,0,2
20,2,2,0,5,66.7,100.0,0.0,1,1,2,0,0,1
27,4,1,3,5,0.0,0.0,83.3,1,2,0,1,0,0
23,3,1,2,5,66.7,0.0,50.0,2,0,2,0,1,1
35,2,1,1,4,50.0,0.0,100.0,3,0,0,1,1,4
21,3,0,3,4,33.3,0.0,0.0,2,0,1,2,0,0
21,4,2,2,4,66.7,0.0,0.0,3,1,2,0,1,1
24,3,1,2,4,66.7,0.0,0.0,1,1,0,0,1,1
28,6,4,2,4,22.2,0.0,0.0,4,2,2,0,0,1
21,7,5,2,4,33.3,0.0,0.0,3,2,3,0,1,2
29,7,6,1,4,25.0,0.0,0.0,8,3,0,1,0,3
24,3,1,2,4,66.7,0.0,0.0,3,0,0,0,1,0
21,3,2,1,3,50.0,50.0,0.0,2,0,0,0,0,0
32,1,0,1,3,100.0,100.0,0.0,1,0,0,0,0,0
23,4,1,3,3,25.0,0.0,50.0,1,2,1,0,0,1
34,1,1,0,3,20.0,33.3,0.0,4,0,1,0,0,1
24,3,0,3,2,33.3,0.0,0.0,4,0,0,1,0,2
20,2,0,2,2,100.0,0.0,0.0,0,0,0,0,0,0
23,1,0,1,2,50.0,0.0,0.0,1,1,0,0,0,0
20,3,1,2,2,33.3,0.0,0.0,2,0,0,0,0,0
27,4,1,3,2,0.0,0.0,100.0,3,1,1,1,1,3
21,4,2,2,2,50.0,0.0,0.0,0,0,0,0,0,0
24,3,1,2,1,0.0,0.0,50.0,3,1,1,0,0,0
37,1,0,1,1,0.0,0.0,50.0,0,0,1,0,0,0
24,4,1,3,1,0.0,0.0,50.0,12,1,2,0,0,7
28,2,1,1,0,0.0,0.0,0.0,2,2,2,0,1,0
23,2,0,2,0,0.0,0.0,0.0,0,0,0,0,0,0
26,1,0,1,0,0.0,0.0,0.0,1,1,0,0,0,1
23,1,0,1,0,0.0,0.0,0.0,1,0,0,0,0,0
24,2,2,0,0,0.0,0.0,0.0,3,2,1,0,0,0
34,7,5,2,0,0.0,0.0,0.0,13,3,0,1,1,2
35,1,0,1,0,0.0,0.0,0.0,0,0,1,0,0,0
22,3,0,3,0,0.0,0.0,0.0,2,0,0,0,0,1
24,3,0,3,0,0.0,0.0,0.0,2,0,0,0,0,1
20,3,2,1,0,0.0,0.0,0.0,4,0,0,0,0,0
26,3,3,0,0,0.0,0.0,0.0,1,0,0,0,0,0
27,1,0,1,0,0.0,0.0,0.0,1,0,1,1,0,0
21,3,1,2,0,0.0,0.0,0.0,3,1,0,0,0,0
23,1,0,1,0,0.0,0.0,0.0,1,1,0,0,0,0
