Age,MinutesPlayed,PointsScored
31,207.9,139
39,203.9,139
26,174.1,84
28,184.7,71
26,152.5,39
30,110.9,37
31,73.0,15
28,69.2,7
24,23.8,1
38,619.2,392
30,607.7,361
25,579.1,270
27,472.5,213
25,388.0,195
29,416.8,118
24,179.0,80
24,246.7,69
26,90.9,33
23,124.5,22
20,33.1,13
32,32.3,11
29,27.8,10
26,37.1,10
25,10.2,0
36,223.6,140
28,143.9,87
27,196.5,86
27,104.8,45
25,129.4,38
27,120.6,35
34,110.1,33
28,145.6,31
36,87.5,26
20,48.4,26
27,39.3,23
31,38.0,9
28,35.7,6
28,11.6,0
35,4.9,0
27,768.9,582
35,761.7,580
27,608.3,225
24,484.0,209
33,524.7,167
34,395.4,143
26,509.8,137
30,385.5,124
34,282.0,104
32,135.2,41
34,74.9,20
19,16.9,14
27,24.3,13
28,37.8,10
34,30.8,0
27,126.3,68
32,145.6,56
22,104.9,42
24,80.0,36
37,79.0,29
33,75.1,28
39,60.7,25
33,84.5,18
25,81.6,14
30,67.9,11
25,30.7,10
25,19.5,4
24,4.2,0
32,354.3,228
23,319.8,144
30,357.9,131
31,285.9,121
31,286.7,95
36,325.5,82
25,165.9,72
31,131.1,36
31,145.4,20
26,11.6,3
35,10.8,0
31,4.3,0
38,0.9,0
32,354.3,228
23,319.8,144
30,357.9,131
31,285.9,121
31,286.7,95
36,325.5,82
25,165.9,72
31,131.1,36
31,145.4,20
26,11.6,3
35,10.8,0
31,4.3,0
38,0.9,0
31,922.7,671
29,913.2,450
30,838.9,258
35,754.5,237
30,667.3,222
22,561.1,198
24,324.2,113
23,301.0,105
26,75.9,31
30,96.2,18
27,39.8,9
25,13.1,8
29,12.2,5
30,939.7,695
28,930.9,420
29,734.7,283
24,722.0,260
34,635.5,176
21,400.2,144
23,275.9,103
22,260.3,94
29,331.7,80
25,250.3,69
26,73.3,29
28,15.6,2
25,325.7,242
25,353.3,130
28,278.7,106
25,284.1,101
18,133.3,74
26,280.0,60
36,133.4,51
35,209.4,49
22,92.9,19
27,52.1,14
22,34.3,8
28,8.0,3
26,499.6,396
26,476.0,221
26,367.9,151
28,430.3,142
27,420.7,112
19,222.1,96
23,279.1,78
29,179.6,68
29,208.9,31
24,10.0,4
28,10.1,4
28,15.7,0
27,315.4,213
20,317.0,158
32,306.3,128
24,238.5,78
29,181.0,53
28,177.3,40
37,112.3,30
31,178.7,26
22,32.7,14
29,47.1,9
24,10.0,3
23,3.7,0
28,1000.2,707
21,857.7,465
33,764.8,285
36,642.3,198
29,620.5,175
34,405.3,119
30,331.8,100
25,321.8,99
36,429.5,90
22,44.3,22
25,50.7,18
36,75.8,17
29,676.0,487
22,693.6,471
26,573.2,215
31,574.7,160
35,424.5,96
30,381.6,94
35,290.0,70
24,132.8,29
23,26.8,14
37,44.1,13
25,45.3,5
32,2.5,0
30,776.1,541
23,831.9,506
27,649.9,193
32,654.7,186
31,704.0,176
24,326.7,95
26,241.3,62
36,237.4,55
31,131.2,36
23,20.7,6
37,4.6,3
26,6.6,0
24,530.6,385
31,480.5,324
28,425.1,153
25,318.7,88
32,372.2,67
37,215.8,38
24,72.1,34
27,167.1,33
22,65.4,30
33,79.8,24
23,128.8,23
27,49.0,4
25,972.0,539
32,920.5,473
40,798.6,242
35,769.6,171
29,509.1,166
26,470.9,121
25,239.6,83
23,311.3,82
24,135.2,32
34,147.4,18
23,41.1,12
33,14.7,0
27,314.2,195
26,313.6,134
24,224.9,90
26,234.5,85
25,258.4,62
25,78.4,44
22,128.6,42
28,120.8,37
23,25.3,11
35,21.2,4
33,8.2,0
18,1.9,0
28,214.7,164
27,191.9,97
25,132.9,43
27,127.6,36
20,114.4,32
28,82.3,25
19,55.0,20
26,51.1,18
32,80.0,18
24,48.2,17
23,42.9,11
26,58.9,9
