Age,MinutesPlayed,PointsScored
26,192.5,113
24,184.8,84
28,175.7,58
23,122.5,51
21,128.3,47
32,107.3,32
27,125.6,24
35,51.5,18
30,59.6,13
26,17.8,12
35,32.1,9
23,2.5,0
33,874.0,592
25,849.6,412
27,694.3,291
27,671.9,279
27,647.0,215
37,599.4,212
29,418.6,207
34,358.8,137
26,161.0,60
30,174.2,46
31,45.4,23
23,19.5,12
25,15.7,4
20,12.6,2
43,3.0,0
32,629.3,466
24,613.7,266
26,522.8,196
22,381.1,189
30,367.7,159
26,422.9,144
37,509.3,142
36,294.9,78
26,208.9,76
28,159.3,73
32,137.5,53
24,37.8,25
25,31.1,9
32,3.5,0
35,116.7,64
23,135.8,62
31,154.2,58
27,99.6,41
25,93.2,41
21,92.8,37
31,57.3,25
36,96.0,19
33,30.3,18
37,71.1,15
21,12.3,7
25,14.2,5
22,5.8,0
25,5.8,0
30,806.4,467
22,687.1,338
20,706.5,335
34,553.0,324
29,660.0,252
26,600.2,245
29,258.4,130
24,239.2,92
36,409.7,79
23,96.8,22
28,30.8,14
29,41.7,12
24,0.3,0
32,156.4,93
36,127.4,83
27,146.2,64
31,160.5,62
22,124.8,49
24,129.7,42
26,80.8,40
30,100.7,39
34,472.6,300
30,472.0,231
31,494.6,186
35,492.4,170
27,291.2,120
22,386.7,93
20,329.6,90
30,109.8,40
29,133.6,38
33,82.3,30
29,763.4,548
32,692.9,356
30,685.7,298
38,527.4,185
28,534.5,128
34,318.8,95
35,317.0,92
25,403.9,92
33,126.0,53
34,168.6,40
35,201.7,37
25,23.4,11
28,29.2,10
26,7.5,0
28,960.4,596
31,782.2,349
29,751.1,279
37,573.4,234
27,649.9,216
24,417.8,129
34,303.4,128
33,357.3,110
34,391.8,103
33,232.0,58
33,46.6,17
32,32.8,9
30,71.3,6
29,827.8,515
26,921.6,497
27,834.2,390
25,510.9,163
30,271.9,78
33,414.8,73
31,290.0,63
28,574.7,58
31,215.0,47
36,103.5,32
38,60.1,17
33,47.7,11
33,17.8,4
29,827.8,515
26,921.6,497
27,834.2,390
25,510.9,163
30,271.9,78
33,414.8,73
31,290.0,63
28,574.7,58
31,215.0,47
36,103.5,32
38,60.1,17
33,47.7,11
33,17.8,4
28,209.8,166
24,130.5,54
21,135.0,52
30,148.7,49
30,141.7,30
30,114.5,26
24,111.5,25
31,116.6,21
27,78.6,13
29,8.6,2
32,4.5,0
27,285.2,204
20,178.4,85
30,161.7,80
28,235.2,67
29,203.8,59
23,230.8,51
22,160.8,37
29,39.8,12
26,88.3,10
25,24.3,8
31,47.5,2
26,21.1,2
23,3.1,0
30,701.5,318
27,630.0,303
24,548.1,194
24,557.2,178
31,496.8,136
27,448.9,122
27,287.0,98
27,125.6,37
30,119.0,33
29,144.5,30
26,15.2,8
34,6.2,4
31,221.6,130
28,137.2,77
25,186.5,72
30,125.3,47
28,190.4,46
25,129.5,31
32,61.9,9
27,27.5,9
30,45.3,7
30,58.2,5
30,11.2,4
30,5.5,0
29,194.4,108
29,144.5,51
26,153.2,50
36,140.5,45
32,181.5,45
26,57.1,37
28,111.4,29
33,151.0,20
31,19.0,6
28,8.3,4
31,26.3,0
29,12.6,0
30,374.8,216
27,424.3,175
34,370.3,90
25,277.0,77
30,308.8,75
29,167.8,64
33,181.8,54
29,158.4,35
37,135.7,33
22,16.3,11
29,9.8,2
29,108.0,57
23,63.3,38
31,90.6,35
29,83.3,30
26,70.0,18
34,98.1,16
35,71.2,16
30,58.0,12
31,15.1,5
34,36.3,5
37,21.2,3
33,4.8,0
22,512.6,234
24,510.1,219
32,480.8,172
24,510.1,167
32,400.2,92
27,293.5,91
26,137.8,50
24,198.7,47
25,57.8,21
26,2.1,0
28,10.0,0
26,6.4,0
23,574.5,384
33,429.2,252
33,604.3,205
28,502.0,181
25,545.6,138
25,261.8,110
35,255.5,91
26,179.5,56
35,133.4,29
28,62.2,16
31,95.8,8
36,6.3,0
24,959.3,654
34,759.1,424
29,862.2,307
30,686.2,214
26,650.3,189
29,606.5,160
37,559.6,133
36,225.5,80
31,65.6,24
29,71.9,16
32,89.7,13
25,1.5,0
23,7.5,0
25,161.8,94
35,120.9,75
30,92.2,47
30,138.5,31
27,102.9,30
37,55.2,25
31,111.6,23
26,76.9,20
35,66.5,10
21,0.8,0
38,31.9,0
30,0.8,0
