Age,GamesPlayed,NetScoreOfPlayer
31,5,-9
39,5,-11
26,5,-9
28,5,22
26,5,-24
30,5,-3
31,5,-19
28,5,-9
24,4,7
38,16,12
30,16,54
25,16,73
27,16,8
25,16,19
29,16,44
24,13,1
24,15,-18
26,11,-10
23,12,-17
20,9,16
32,6,8
29,8,2
26,10,-10
25,3,8
36,6,10
28,5,-16
27,6,-20
27,5,-4
25,6,-15
27,6,-20
34,6,-36
28,5,-3
36,5,-31
20,4,-14
27,4,-13
31,4,-21
28,4,-10
28,2,0
35,2,-2
27,21,184
35,21,165
27,21,75
24,21,16
33,21,165
34,16,44
26,21,100
30,21,58
34,18,-5
32,14,17
34,10,-28
19,2,5
27,6,-35
28,5,-5
34,9,-36
27,4,-47
32,4,-47
22,4,-59
24,3,-43
37,4,-49
33,2,-24
39,2,-5
33,3,-4
25,4,-58
30,2,-26
25,3,-8
25,1,-10
24,2,5
32,10,4
23,10,-30
30,10,14
31,10,-3
31,9,7
36,10,-1
25,10,-32
31,10,-8
31,9,-2
26,3,-8
35,5,-6
31,1,-2
38,1,2
32,10,4
23,10,-30
30,10,14
31,10,-3
31,9,7
36,10,-1
25,10,-32
31,10,-8
31,9,-2
26,3,-8
35,5,-6
31,1,-2
38,1,2
31,23,97
29,23,97
30,23,96
35,23,76
30,23,88
22,23,-8
24,23,-32
23,23,18
26,10,6
30,16,15
27,13,-15
25,2,-1
29,3,3
30,23,181
28,23,152
29,23,189
24,23,97
34,22,93
21,23,25
23,21,46
22,20,33
29,21,46
25,23,3
26,14,-32
28,7,-3
25,9,33
25,9,-25
28,9,-6
25,9,-46
18,9,0
26,9,-30
36,8,69
35,9,58
22,9,-1
27,8,-10
22,6,13
28,3,-5
26,13,31
26,13,14
26,13,-21
28,13,48
27,13,68
19,11,-40
23,13,37
29,13,-28
29,12,-5
24,4,-6
28,4,-8
28,7,-10
27,8,2
20,8,7
32,7,-13
24,8,16
29,8,-48
28,8,5
37,7,-32
31,8,-4
22,3,-4
29,7,-29
24,3,-13
23,3,-2
28,23,115
21,22,47
33,23,-2
36,23,37
29,23,106
34,22,17
30,23,42
25,21,3
36,23,-36
22,9,2
25,14,-25
36,18,-36
29,16,186
22,16,213
26,16,162
31,16,156
35,16,107
30,16,98
35,16,46
24,15,21
23,7,-17
37,6,32
25,13,21
32,1,-5
30,19,118
23,19,66
27,19,76
32,19,108
31,19,62
24,19,1
26,19,-74
36,19,1
31,18,9
23,7,-7
37,2,-6
26,7,6
24,12,20
31,12,26
28,12,-12
25,11,54
32,12,22
37,12,0
24,9,6
27,12,-56
22,9,8
33,4,-27
23,11,-35
27,9,9
25,22,30
32,22,91
40,21,8
35,22,-9
29,22,32
26,22,24
25,21,-37
23,22,13
24,17,4
34,16,-28
23,13,-8
33,6,-20
27,7,-48
26,7,-46
24,7,-70
26,7,-57
25,7,-47
25,7,28
22,7,22
28,7,10
23,3,-7
35,3,-4
33,1,-10
18,1,-6
28,5,-45
27,5,-54
25,5,-16
27,5,-32
20,5,-25
28,5,-25
19,5,-13
26,5,6
32,4,-18
24,4,-22
23,4,-6
26,5,-10
