Cluster,Total_distance,Parent_cluster,Child_cluster,Age,GamesPlayed,NetScoreOfPlayer
33,2.2188285197373854,7,5,2.0,0.9599999999999982,0.03999999999999915
31,2.5387306003639964,7,3,1.0357142857142954,1.9285714285714293,1.2857142857142954
22,2.5447112911989676,6,1,1.8666666666666707,0.7999999999999976,1.5333333333333172
53,2.614836561281516,9,8,1.1764705882353006,1.529411764705884,1.7647058823529385
18,2.826402941905197,5,3,1.0322580645161104,1.7096774193548359,1.9999999999999982
15,2.892225637083379,5,0,1.6666666666666536,0.8055555555555562,2.222222222222207
40,3.213832559917115,8,4,0.2352941176470651,2.3529411764705896,2.1764705882352935
11,3.2387356062584405,4,1,1.621621621621646,0.9189189189189189,2.6486486486486456
21,3.6046951550018473,6,0,0.1666666666666714,2.833333333333333,2.2222222222222143
46,3.6666666666666643,9,1,0.19999999999999218,3.0666666666666647,2.0
41,4.174139486611127,8,5,2.7391304347826164,0.34782608695652106,3.13043478260869
43,4.3341808876582455,8,7,0.9090909090908958,2.454545454545455,3.454545454545439
45,4.366835476356112,9,0,2.1052631578947363,0.5263157894736841,3.789473684210524
25,4.461642074393687,6,4,1.0,4.125,1.375
35,4.461642074393687,7,7,1.0,4.125,1.375
6,5.081233122102579,3,0,0.8148148148148167,4.703703703703704,1.7407407407407547
14,5.487871599616514,4,4,1.0,2.2285714285714273,4.914285714285711
3,5.6943855685872204,2,0,1.101694915254253,2.864406779661013,4.796610169491508
4,7.1409918199319975,2,1,1.380952380952376,2.7857142857142847,6.428571428571438
54,7.458216945088149,9,9,1.25,6.0,4.25
48,7.597107961765187,9,3,2.777777777777775,6.9999999999999964,1.0
9,8.197989463886866,3,3,1.7708333333333357,1.833333333333333,7.791666666666671
7,8.903693302359228,3,1,1.2258064516129181,3.419354838709678,8.129032258064512
1,9.504430618868705,1,0,1.666666666666682,2.7708333333333357,8.9375
38,9.791382612756367,8,2,1.6071428571428577,2.2500000000000004,9.392857142857139
36,9.920989643324832,8,0,2.2307692307692335,8.615384615384617,4.38461538461538
20,10.555040923127157,5,5,2.4666666666666757,8.466666666666667,5.8000000000000025
26,10.568344541485887,6,5,1.387096774193541,2.677419354838708,10.129032258064512
52,10.848267093404614,9,7,1.2758620689655054,2.758620689655173,10.413793103448276
0,11.73264811362103,0,0,1.7328244274808746,3.717557251908384,10.992366412213709
10,12.649407100730055,4,0,1.0499999999999972,5.049999999999999,11.549999999999997
16,12.649407100730055,5,1,1.0499999999999972,5.049999999999999,11.549999999999997
29,12.750913646345822,7,1,1.5384615384615437,2.6153846153846136,12.384615384615387
2,13.026798868109578,1,1,1.7710843373493503,4.265060240963861,12.180722891566251
24,16.32889501772854,6,3,1.3125,5.6875,15.25
28,17.71352276902844,7,0,1.5333333333333172,5.799999999999999,16.66666666666667
37,17.71352276902844,8,1,1.5333333333333172,5.799999999999999,16.66666666666667
50,20.290931311576717,9,5,1.8461538461538538,5.153846153846153,19.53846153846154
12,20.401225453388832,4,2,2.233333333333345,8.666666666666664,18.333333333333343
30,24.636133182213175,7,2,1.7368421052631682,10.736842105263154,22.105263157894736
23,28.01416088117834,6,2,2.8888888888889,10.444444444444445,25.83333333333333
42,29.737534996268955,8,6,0.5555555555555571,10.88888888888889,27.666666666666664
5,30.51385841802959,2,2,3.4666666666666686,6.699999999999994,29.566666666666663
19,30.601223881522955,5,4,1.7368421052631646,8.421052631578945,29.368421052631568
49,32.31793447745213,9,4,2.600000000000005,10.266666666666666,30.53333333333333
8,35.227284879763296,3,2,3.279999999999987,6.6400000000000095,34.44
32,40.58016756988566,7,4,0.5,2.5,40.5
39,41.9583126448145,8,3,6.0,1.5,41.5
47,41.9583126448145,9,2,6.0,1.5,41.5
44,42.03658383081682,8,8,4.0,4.181818181818185,41.63636363636364
17,42.462807255291054,5,2,4.399999999999999,1.6999999999999993,42.19999999999998
27,42.462807255291054,6,6,4.399999999999999,1.6999999999999993,42.19999999999998
51,42.835927288511755,9,6,3.333333333333332,1.8333333333333286,42.66666666666666
34,42.988733989267466,7,6,5.375,1.5,42.625
13,43.525641655023094,4,3,4.888888888888886,1.5555555555555571,43.22222222222222
