Age,GamesPlayed,NetScoreOfPlayer
22,16,71
28,16,18
23,16,67
31,15,95
24,16,-23
36,15,58
25,16,8
30,15,-36
25,7,23
28,9,2
22,6,9
21,5,12
28,6,17
20,3,7
30,3,7
21,5,-15
27,5,-46
31,5,-18
35,5,-17
24,5,3
29,5,-35
29,4,-26
23,5,-29
30,4,-20
25,2,-3
27,2,-11
20,1,-4
21,1,1
20,6,-22
26,6,-10
26,6,-4
33,6,-25
21,6,19
25,6,-44
23,6,-25
26,5,-4
28,5,-34
22,5,-22
22,1,7
32,2,-3
23,1,2
23,5,-56
28,5,-12
22,5,-43
29,5,1
30,5,-55
38,5,-5
20,3,-41
27,3,-40
21,3,-36
30,3,-19
30,3,-34
33,3,1
34,3,2
26,2,7
26,2,2
24,1,-3
23,1,-3
33,1,-6
28,5,-29
22,5,-18
35,5,-16
34,5,-56
21,5,-18
31,5,-14
31,4,20
30,2,-9
24,1,0
28,1,1
26,2,-6
25,1,0
23,4,-28
29,4,-15
35,4,-14
23,4,-30
29,4,-20
32,4,-15
29,4,-8
23,3,0
26,4,-4
32,4,5
28,4,-1
23,2,5
30,4,-9
24,4,-1
30,4,-28
30,4,16
24,4,-8
23,4,-31
36,4,17
24,4,-6
27,3,1
33,3,7
33,1,2
25,4,-30
31,4,-22
24,4,-22
31,4,-16
31,4,-15
26,4,-10
34,3,-8
30,4,12
25,4,-7
21,2,8
37,4,-8
24,3,-12
26,3,-14
25,3,0
25,3,-26
26,3,-22
32,3,-12
27,3,-2
26,3,-40
38,3,2
27,3,-10
33,3,-32
27,1,-4
27,6,-31
27,6,-20
26,6,-47
28,6,-2
27,6,-26
35,6,10
33,6,-20
36,6,-28
28,6,-15
27,5,-14
24,4,1
25,2,2
28,18,40
33,18,18
34,16,23
27,12,23
25,18,-60
31,18,13
33,16,-22
36,18,39
28,17,-18
29,15,-27
29,13,-20
34,9,-14
