Age,GamesPlayed,NetScoreOfPlayer
35,13,47
33,13,20
28,13,40
24,13,-5
33,12,-12
27,13,50
30,12,-46
26,13,-38
21,12,-14
20,10,-23
33,7,-21
25,6,-4
20,3,-4
34,22,121
32,22,41
23,22,51
27,22,140
32,22,117
26,22,62
29,19,109
19,16,-35
29,12,49
34,15,-17
20,13,-4
29,16,-32
38,7,-19
29,14,-28
31,22,120
29,21,21
30,12,85
29,22,127
35,21,69
23,21,97
33,22,-46
26,17,-55
26,22,7
28,8,-29
34,19,-11
24,15,-6
32,16,-11
22,7,3
24,4,-1
29,21,207
28,21,147
30,15,147
28,21,183
32,21,58
34,15,110
22,21,58
30,13,37
25,17,48
37,18,1
33,20,21
23,17,38
29,17,245
28,15,177
27,17,192
27,17,227
33,16,106
26,16,5
29,16,79
33,15,82
36,17,11
31,14,35
21,15,35
24,13,-18
37,12,-18
22,4,-8
26,24,64
28,18,47
26,23,140
24,24,43
32,24,62
30,24,78
28,24,6
33,23,31
31,22,34
26,23,-1
25,16,16
27,21,166
25,21,120
25,21,190
23,21,114
31,21,69
29,21,72
32,21,38
30,19,9
25,20,12
32,13,34
27,10,3
22,5,-4
29,3,0
26,5,-3
26,7,3
24,7,-22
31,7,10
30,7,-39
24,7,20
22,7,-5
26,7,-6
35,7,-53
25,6,-8
34,6,-29
29,7,-20
23,1,-2
24,3,-4
25,12,52
29,12,-5
21,12,18
23,12,32
29,12,-33
28,12,37
23,12,0
30,6,-14
23,12,-9
33,7,-27
23,5,-11
23,9,-23
27,3,-1
30,2,-6
28,11,42
29,11,15
26,11,10
27,11,17
27,11,16
21,11,-35
21,11,27
25,11,1
23,6,1
32,3,1
24,4,-1
31,4,1
