Age,GamesPlayed,NetScoreOfPlayer
30,6,27
29,6,-7
28,6,8
26,6,45
37,6,-48
30,6,28
22,6,-44
29,5,-34
26,5,-20
24,3,0
21,3,-1
24,2,5
25,2,-2
21,2,1
23,1,2
28,5,-57
29,4,-43
36,5,-67
25,5,-66
21,5,-42
31,5,-22
21,4,5
25,5,-7
23,4,0
21,3,12
24,3,22
28,16,-13
27,16,-15
27,16,9
26,16,-4
26,16,-35
28,16,-20
21,16,-23
28,16,37
27,11,-6
30,16,-3
25,6,-17
20,5,-10
23,3,-10
26,4,-36
27,4,-42
27,4,-44
23,4,-29
26,4,-84
25,4,-58
26,4,-42
28,4,-47
24,4,-50
25,4,-5
25,4,-28
21,4,-48
24,3,5
23,2,3
22,2,4
22,1,8
25,3,-18
25,11,-40
24,11,6
25,11,-12
23,11,-29
24,11,-21
26,11,-10
28,11,-31
27,11,-10
29,5,-41
24,5,-27
23,5,16
26,5,-25
23,5,30
27,5,-49
23,2,-9
33,3,-11
35,5,-20
29,3,-44
28,1,4
28,2,1
24,2,5
28,11,-16
23,11,-13
25,11,-29
27,11,-49
26,11,-72
31,8,-45
23,7,-28
23,11,-15
28,8,-44
22,6,-14
27,9,-6
35,4,-9
22,4,0
25,2,-5
25,6,-51
28,6,-4
35,6,-26
24,6,-26
26,6,-24
22,6,-28
37,6,-16
26,6,1
25,4,15
22,2,0
29,1,0
22,2,4
25,6,-51
28,6,-4
35,6,-26
24,6,-26
26,6,-24
22,6,-28
37,6,-16
26,6,1
25,4,15
22,2,0
29,1,0
22,2,4
24,6,-39
34,6,-42
21,6,-35
23,6,-36
21,6,-14
25,6,-31
36,6,-37
25,3,-35
23,5,-14
37,6,-27
23,3,2
21,3,1
28,2,-3
24,6,-17
23,6,-18
29,6,-32
24,6,-16
24,6,-20
21,6,9
29,6,-38
26,4,-14
20,6,-25
20,2,3
23,5,6
32,1,2
22,4,-7
26,4,-27
26,4,-21
30,4,-28
32,4,-37
22,4,-12
32,4,-5
23,3,5
28,4,-9
30,4,1
26,2,0
18,2,0
27,4,-15
24,4,-26
23,4,-23
26,4,1
28,4,-3
33,4,0
23,4,-5
33,4,13
29,4,-14
39,2,-13
19,1,0
28,13,19
24,13,-1
27,13,4
25,13,-6
34,13,47
28,13,-41
31,13,1
29,13,-37
30,13,7
20,9,-1
24,8,-22
25,16,49
31,16,61
34,16,89
35,16,83
26,16,45
23,14,-3
28,16,25
37,15,12
32,15,62
21,8,1
31,7,-30
35,2,-14
27,3,-35
32,3,-37
26,3,-36
35,3,-48
36,3,-17
38,3,-1
32,2,-3
34,2,2
33,2,-7
32,2,-31
30,2,-8
35,3,1
27,3,-14
36,3,-7
27,3,-13
25,3,-23
36,3,2
26,3,-16
28,3,-5
32,3,20
33,3,-20
37,2,-5
30,2,1
20,1,0
26,7,8
28,7,14
29,7,22
21,7,28
27,7,10
38,6,17
34,6,18
37,4,-32
28,6,-29
28,7,-2
22,4,-13
28,2,-6
